Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",139.040000,-87.480000,90.000000,top
"C3","100n","C_0402_1005Metric",149.020000,-89.230000,0.000000,top
"C4","100n","C_0402_1005Metric",147.650000,-98.190000,-90.000000,top
"C5","100n","C_0402_1005Metric",135.410000,-88.280000,90.000000,top
"C6","10u","C_0603_1608Metric",137.170000,-87.875000,90.000000,top
"C7","10n","C_0402_1005Metric",133.485000,-103.072500,90.000000,top
"C8","1u","C_0402_1005Metric",132.235000,-103.062500,90.000000,top
"C9","1u","C_0402_1005Metric",130.765000,-103.062500,90.000000,top
"C10","100n","C_0402_1005Metric",135.090000,-94.140000,-90.000000,top
"C11","10p","C_0402_1005Metric",130.760000,-95.210000,0.000000,top
"C12","10p","C_0402_1005Metric",133.000000,-94.680000,-90.000000,top
"C13","22u","C_0805_2012Metric",161.200000,-91.380000,0.000000,top
"C14","22u","C_0805_2012Metric",153.460000,-101.830000,0.000000,top
"D1","RED","LED_0603_1608Metric",158.390000,-91.670000,-90.000000,top
"FB1","1220R","L_0603_1608Metric",132.052500,-104.922500,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",166.425331,-88.880331,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",140.830000,-82.900000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",165.120000,-104.240000,180.000000,top
"J4","Conn_01x14_Pin","PinHeader_1x14_P2.54mm_Vertical",128.930000,-109.360000,90.000000,top
"J5","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",147.330000,-82.970000,90.000000,top
"J6","Conn_01x14_Pin","PinHeader_1x14_P2.54mm_Vertical",161.680000,-78.550000,-90.000000,top
"R1","10K","R_0402_1005Metric",132.660000,-89.110000,-90.000000,top
"R2","1K5","R_0402_1005Metric",150.970000,-89.520000,-90.000000,top
"R3","1K5","R_0402_1005Metric",160.810000,-87.610000,180.000000,top
"R4","1K5","R_0402_1005Metric",145.640000,-101.040000,-90.000000,top
"R5","1K5","R_0402_1005Metric",149.000000,-101.660000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",123.315000,-87.200000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",142.810000,-93.030000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",157.000000,-96.860000,180.000000,top
"Y1","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",131.720000,-98.310000,0.000000,top
